id,author,downloads,likes,params_billions,tensor_types,storage_gb,architecture,model_type,library_name,gated,lastModified
fixie-ai/ultravox-v0_5-llama-3_2-1b,fixie-ai,405156,63,0.68,BF16,1.71,UltravoxModel,ultravox,transformers,False,2025-11-27T01:04:29.000Z
Qwen/Qwen2-Audio-7B-Instruct,Qwen,202181,498,8.4,BF16,15.73,Qwen2AudioForConditionalGeneration,qwen2_audio,transformers,False,2025-01-12T02:05:48.000Z
Qwen/Qwen2-Audio-7B,Qwen,54031,154,8.4,BF16,15.64,Qwen2AudioForConditionalGeneration,qwen2_audio,transformers,False,2024-11-20T09:21:08.000Z
mispeech/midashenglm-7b-0804-fp32,mispeech,33294,76,8.28,F32,50.56,MiDashengLMModel,midashenglm,,False,2025-10-31T02:15:09.000Z
nvidia/audio-flamingo-3-hf,nvidia,10817,132,8.27,BF16,51.27,AudioFlamingo3ForConditionalGeneration,audioflamingo3,transformers,False,2025-11-30T04:22:19.000Z
nvidia/music-flamingo-hf,nvidia,8600,56,8.27,BF16,46.21,AudioFlamingo3ForConditionalGeneration,audioflamingo3,transformers,False,2025-12-04T18:26:53.000Z
NexaAI/Qwen2-Audio-7B-GGUF,NexaAI,7250,166,0,,81.47,,,,False,2024-11-25T17:58:01.000Z
fixie-ai/ultravox-v0_6-llama-3_1-8b,fixie-ai,6249,4,0.69,BF16,1.3,UltravoxModel,ultravox,transformers,False,2025-07-05T17:50:37.000Z
mistralai/Voxtral-Small-24B-2507,mistralai,6133,436,24.26,"F32, BF16",90.4,VoxtralForConditionalGeneration,voxtral,vllm,False,2025-07-28T17:16:55.000Z
fixie-ai/ultravox-v0_5-llama-3_1-8b,fixie-ai,4749,34,0.69,BF16,2.59,UltravoxModel,ultravox,transformers,False,2025-05-06T23:23:22.000Z
fixie-ai/ultravox-v0_4-ToolACE-8B,fixie-ai,4253,1,0.04,F32,0.17,UltravoxModel,ultravox,transformers,False,2025-05-06T23:22:00.000Z
bartowski/mistralai_Voxtral-Mini-3B-2507-GGUF,bartowski,3262,10,0,,62.7,,,,False,2025-07-28T18:30:19.000Z
fixie-ai/ultravox-v0_6-llama-3_3-70b,fixie-ai,2456,9,0.7,BF16,1.31,UltravoxModel,ultravox,transformers,False,2025-09-12T04:37:40.000Z
bartowski/mistralai_Voxtral-Small-24B-2507-GGUF,bartowski,2145,12,0,,353.82,,,,False,2025-07-28T20:09:17.000Z
fixie-ai/ultravox-v0_7-glm-4_6,fixie-ai,1757,1,0.74,BF16,1.39,UltravoxModel,ultravox,transformers,False,2025-12-03T22:48:07.000Z
DeSTA-ntu/DeSTA2.5-Audio-Llama-3.1-8B,DeSTA-ntu,1202,6,0.13,F32,0.49,DeSTA25AudioModel,desta25,transformers,False,2025-10-15T09:32:42.000Z
ggml-org/ultravox-v0_5-llama-3_2-1b-GGUF,ggml-org,1197,5,0,,6.5,,,,False,2025-05-25T15:39:14.000Z
NexaAI/OmniAudio-2.6B,NexaAI,1118,280,0,,11.78,,,,False,2024-12-13T22:02:49.000Z
nvidia/audio-flamingo-3,nvidia,982,135,0,,20.67,,,,False,2025-11-28T20:08:23.000Z
gaianet/Qwen2-Audio-7B-Instruct-GGUF,gaianet,865,2,0,,70.15,Qwen2AudioForConditionalGeneration,qwen2_audio,,False,2025-05-27T02:57:26.000Z
mradermacher/Ichigo-llama3.1-s-instruct-v0.4-i1-GGUF,mradermacher,839,3,0,,88.53,,,transformers,False,2025-03-27T17:20:40.000Z
fixie-ai/ultravox-v0_6-qwen-3-32b,fixie-ai,756,11,0.69,BF16,1.29,UltravoxModel,ultravox,transformers,False,2025-09-12T04:38:51.000Z
fixie-ai/ultravox-v0_4,fixie-ai,738,49,8.07,BF16,15.05,UltravoxModel,ultravox,transformers,False,2025-05-06T23:21:38.000Z
mradermacher/Qwen2-Audio-7B-Instruct-GGUF,mradermacher,730,0,0,,66.77,,,transformers,False,2025-07-31T03:56:27.000Z
mispeech/midashenglm-7b-1021-bf16,mispeech,603,2,8.28,BF16,15.44,MiDashengLMModel,midashenglm,,False,2025-11-11T14:18:54.000Z
fixie-ai/ultravox-v0_6-gemma-3-27b,fixie-ai,574,8,0.69,BF16,1.32,UltravoxModel,ultravox,transformers,False,2025-09-12T04:38:40.000Z
mradermacher/Speechless-llama3.2-v0.1-i1-GGUF,mradermacher,553,0,0,,14.95,,,transformers,False,2025-03-29T06:11:20.000Z
mradermacher/Ichigo-llama3.1-s-instruct-v0.4-GGUF,mradermacher,509,1,0,,71.27,,,transformers,False,2025-03-27T17:20:59.000Z
second-state/SeaLLMs-Audio-7B-GGUF,second-state,485,1,0,,68.87,Qwen2AudioForConditionalGeneration,qwen2_audio,,False,2025-05-27T06:04:49.000Z
fixie-ai/ultravox-v0_2,fixie-ai,481,51,8.06,BF16,105.16,UltravoxModel,ultravox,transformers,False,2025-05-06T20:37:10.000Z
