"id","downloads","likes","lastModified","author"
"fixie-ai/ultravox-v0_5-llama-3_2-1b",405156,63,,
"Qwen/Qwen2-Audio-7B-Instruct",202181,498,,
"Qwen/Qwen2-Audio-7B",54031,154,,
"mispeech/midashenglm-7b-0804-fp32",33294,76,,
"nvidia/audio-flamingo-3-hf",10817,132,,
"nvidia/music-flamingo-hf",8600,56,,
"NexaAI/Qwen2-Audio-7B-GGUF",7250,166,,
"fixie-ai/ultravox-v0_6-llama-3_1-8b",6249,4,,
"mistralai/Voxtral-Small-24B-2507",6133,436,,
"fixie-ai/ultravox-v0_5-llama-3_1-8b",4749,34,,
"fixie-ai/ultravox-v0_4-ToolACE-8B",4253,1,,
"bartowski/mistralai_Voxtral-Mini-3B-2507-GGUF",3262,10,,
"fixie-ai/ultravox-v0_6-llama-3_3-70b",2456,9,,
"bartowski/mistralai_Voxtral-Small-24B-2507-GGUF",2145,12,,
"fixie-ai/ultravox-v0_7-glm-4_6",1757,1,,
"DeSTA-ntu/DeSTA2.5-Audio-Llama-3.1-8B",1202,6,,
"ggml-org/ultravox-v0_5-llama-3_2-1b-GGUF",1197,5,,
"NexaAI/OmniAudio-2.6B",1118,280,,
"nvidia/audio-flamingo-3",982,135,,
"gaianet/Qwen2-Audio-7B-Instruct-GGUF",865,2,,
"mradermacher/Ichigo-llama3.1-s-instruct-v0.4-i1-GGUF",839,3,,
"fixie-ai/ultravox-v0_6-qwen-3-32b",756,11,,
"fixie-ai/ultravox-v0_4",738,49,,
"mradermacher/Qwen2-Audio-7B-Instruct-GGUF",730,0,,
"mispeech/midashenglm-7b-1021-bf16",603,2,,
"fixie-ai/ultravox-v0_6-gemma-3-27b",574,8,,
"mradermacher/Speechless-llama3.2-v0.1-i1-GGUF",553,0,,
"mradermacher/Ichigo-llama3.1-s-instruct-v0.4-GGUF",509,1,,
"second-state/SeaLLMs-Audio-7B-GGUF",485,1,,
"fixie-ai/ultravox-v0_2",481,51,,
"mradermacher/Qwen2-Audio-7B-Instruct-i1-GGUF",465,1,,
"stepfun-ai/Step-Audio-R1",452,118,,
"fixie-ai/ultravox-v0_3",449,17,,
